ID	age	sex	n_babies	site	year	pop_size	weight
7	0	m	2	3	1980	137	-7.184770641728978
36	0	m	2	1	1980	137	-7.207852530477581
59	0	f	2	3	1980	137	1.8344206308121613
100	0	m	2	2	1980	137	-11.790069309685599
112	0	m	2	3	1980	137	-6.890065548483055
131	0	f	1	2	1980	137	3.79620191879316
150	0	m	2	3	1980	137	-10.572878574295805
170	0	f	2	2	1980	137	4.91052493380906
207	0	f	2	3	1980	137	4.017796734663621
243	0	m	2	3	1980	137	-6.833571600609474
332	0	f	0	2	1980	137	8.474832427301505
334	0	f	1	1	1980	137	7.059698800154116
445	0	f	2	3	1980	137	NA
452	0	m	1	3	1980	137	-6.505930698053406
515	0	f	0	1	1980	137	7.033696941567583
537	0	m	1	1	1980	137	-7.490114948414354
576	0	f	1	1	1980	137	3.732329596712211
671	0	f	0	1	1980	137	3.1836684070458183
857	0	f	1	3	1980	137	6.82648921198183
7	1	m	1	3	1981	149	-10.039589249661425
10	0	f	2	1	1981	149	4.125538990626817
36	1	m	0	1	1981	149	-8.27362707609487
56	0	m	2	1	1981	149	-5.3430265080248995
59	1	f	1	3	1981	149	5.178778550407571
100	1	m	2	2	1981	149	-4.791621113008142
109	0	f	1	3	1981	149	2.8306086325836493
112	1	m	0	3	1981	149	-7.392477088677649
131	1	f	1	2	1981	149	4.105733858727987
145	0	m	1	2	1981	149	-8.224744373397975
150	1	m	0	3	1981	149	-12.461831575958596
170	1	f	1	2	1981	149	3.27710330110534
175	0	m	0	1	1981	149	-6.523586500282248
200	0	f	0	1	1981	149	1.8247825322730593
207	1	f	2	3	1981	149	4.258239161495364
224	0	f	2	1	1981	149	0.39818365354886265
243	1	m	2	3	1981	149	-10.640298645513928
294	0	f	1	3	1981	149	7.979857455836858
332	1	f	2	2	1981	149	0.7886336490652398
334	1	f	1	1	1981	149	NA
346	0	f	0	3	1981	149	5.914126565807087
437	0	m	1	3	1981	149	-5.305999480724268
445	1	f	0	3	1981	149	4.0587210639611415
451	0	f	1	1	1981	149	NA
452	1	m	1	3	1981	149	-7.206918922891951
480	0	f	1	2	1981	149	5.11824604476795
487	0	m	2	1	1981	149	-6.487691413966433
515	1	f	1	1	1981	149	NA
537	1	m	1	1	1981	149	-8.488313472291086
564	0	f	0	2	1981	149	2.6232623261721693
566	0	f	0	2	1981	149	3.6499356112447936
576	1	f	0	1	1981	149	-0.8073930396322453
671	1	f	0	1	1981	149	4.980942221608948
676	0	f	0	1	1981	149	NA
683	0	m	1	3	1981	149	-4.578606437360859
709	0	m	1	1	1981	149	-8.517958766048583
723	0	f	1	3	1981	149	8.781223868189688
743	0	m	0	3	1981	149	-10.854343408985532
778	0	m	2	1	1981	149	-8.432254047265536
832	0	m	2	3	1981	149	-5.514951602070053
857	1	f	1	3	1981	149	4.2858695020225435
863	0	m	0	1	1981	149	-5.15844406235312
883	0	m	1	3	1981	149	-2.7069294782211615
7	2	m	2	3	1982	145	-3.6171313069486875
10	1	f	1	1	1982	145	2.8131835868363195
20	0	f	2	3	1982	145	2.3031881258450198
36	2	m	1	1	1982	145	-9.215275993452888
49	0	m	1	1	1982	145	NA
56	1	m	1	1	1982	145	-3.7422671512731585
59	2	f	1	3	1982	145	3.922242171684622
80	0	m	0	3	1982	145	-4.001068319492474
109	1	f	2	3	1982	145	2.6942360056448384
112	2	m	2	3	1982	145	NA
131	2	f	0	2	1982	145	NA
145	1	m	1	2	1982	145	-1.893154056287929
150	2	m	0	3	1982	145	-9.46130059354606
170	2	f	2	2	1982	145	3.478039381044728
175	1	m	1	1	1982	145	-5.004062407194556
200	1	f	2	1	1982	145	8.122662566076734
207	2	f	1	3	1982	145	3.3360116415331973
224	1	f	2	1	1982	145	5.6631075007893195
243	2	m	1	3	1982	145	-10.053134544079406
244	0	f	1	2	1982	145	7.047860524666155
267	0	f	0	3	1982	145	2.1043028588311032
286	0	f	1	2	1982	145	0.23220583793253846
294	1	f	2	3	1982	145	-1.0936585151100355
297	0	f	0	2	1982	145	4.390136988472153
334	2	f	1	1	1982	145	5.589445395636654
346	1	f	2	3	1982	145	5.693815533141372
349	0	f	1	3	1982	145	1.0055137144095407
389	0	f	2	1	1982	145	5.388318921363516
411	0	m	2	3	1982	145	-8.397327851148221
415	0	f	0	2	1982	145	NA
433	0	m	1	1	1982	145	-8.225074656498336
437	1	m	0	3	1982	145	-4.355388921165797
445	2	f	2	3	1982	145	3.7731368921074617
451	1	f	2	1	1982	145	3.49853992366804
480	1	f	0	2	1982	145	NA
487	1	m	1	1	1982	145	-7.406802413101747
495	0	f	2	1	1982	145	5.269889546597653
